date,description,merchant,amount,category,isSubscription
2024-01-01,Paycheck,Employer Inc,2500,Income,false
2024-01-01,Netflix Subscription,Netflix,-15.99,Subscriptions,true
2024-01-01,Spotify Premium,Spotify,-9.99,Subscriptions,true
2024-01-02,Groceries at Walmart,Walmart,-82.43,Groceries,false
2024-01-03,Coffee Shop Latte,Starbucks,-5.75,Eating Out,false
2024-01-03,Gas Refill,Shell,-43.20,Transportation,false
2024-01-04,Apple Music,Apple Music,-9.99,Subscriptions,true
2024-01-04,Lunch Burrito,Chipotle,-11.50,Eating Out,false
2024-01-05,Utility Bill,PG&E,-120.44,Bills,false
2024-01-05,Amazon Purchase,Amazon,-46.88,Shopping,false
2024-01-06,Refund,Amazon,12.00,Income,false
2024-01-06,Processing Fee,Bank,-2.50,Other,false
2024-01-07,Gym Membership,Gym,-29.99,Subscriptions,true
2024-01-08,Online Course,Udemy,-14.99,Education,false
2024-01-08,Dinner Sushi,Sushi House,-32.70,Eating Out,false
2024-01-09,Grocery Run,Trader Joe's,-53.11,Groceries,false
2024-01-10,Uber Ride,Uber,-18.22,Transportation,false
2024-01-10,Netflix Subscription,Netflix,-15.99,Subscriptions,true
2024-01-11,Bank Service Fee,Bank,-3.00,Other,false
2024-01-12,Gas Station,Chevron,-41.36,Transportation,false
2024-01-12,Paycheck,Employer Inc,2500,Income,false
2024-01-13,Coffee,Starbucks,-6.20,Eating Out,false
2024-01-13,New Shoes,Nike,-89.99,Shopping,false
2024-01-14,Groceries,Walmart,-97.21,Groceries,false
2024-01-14,Spotify Premium,Spotify,-9.99,Subscriptions,true
2024-01-15,T-Mobile Phone Bill,T-Mobile,-80.00,Subscriptions,true
2024-01-15,Haircut,Barbershop,-25.00,Shopping,false
2024-01-16,Gym Membership,Gym,-29.99,Subscriptions,true
2024-01-17,Flight Ticket,Delta,-280.40,Travel,false
2024-01-17,Lunch Sandwich,Panera,-12.85,Eating Out,false
2024-01-18,Grocery Store,Costco,-134.18,Groceries,false
2024-01-19,Gas Refill,Shell,-39.11,Transportation,false
